Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018"
"Angola","AGO","Subnat","AGOr207"," Malange",6.04,6.25,6.46,6.67
"Angola","AGO","Subnat","AGOr212"," Moxico",5.49,5.51,5.53,5.55
"Angola","AGO","Subnat","AGOr214"," Namibe",6.77,6.54,6.31,6.08
"Angola","AGO","Subnat","AGOr203"," Uige",6.37,6.36,6.35,6.34
"Angola","AGO","Subnat","AGOr202"," Zaire",5.89,6.02,6.15,6.28
"Benin","BEN","National","BENt","Total",7.21,7.33,7.44,7.56
"Benin","BEN","Urb/rur","BENtu","Urban",6.65,6.73,6.80,6.88
"Benin","BEN","Urb/rur","BENtr","Rural",7.60,7.74,7.88,8.02
"Benin","BEN","Poverty","BENp1","Poor",7.25,7.36,7.48,7.59
"Benin","BEN","Poverty","BENp0","Nonpoor",7.09,7.22,7.34,7.47
"Benin","BEN","Wealth quartiles","BENw41","Lowest 25%",7.85,8.04,8.24,8.43
"Benin","BEN","Wealth quartiles","BENw42","Second 25%",7.46,7.57,7.68,7.79
"Benin","BEN","Wealth quartiles","BENw43","Third 25%",7.08,7.16,7.23,7.31
"Benin","BEN","Wealth quartiles","BENw44","Highest 25%",6.28,6.35,6.42,6.49
"Benin","BEN","Subnat","BENr101","Atacora (incl Donga)",9.08,9.17,9.26,9.35
"Benin","BEN","Subnat","BENr102","Atlantique (incl Littoral (Cotonou))",5.88,5.91,5.94,5.97
"Benin","BEN","Subnat","BENr103","Borgou (incl Alibori)",9.08,9.37,9.66,9.95
"Benin","BEN","Subnat","BENr104","Mono (incl Couffo)",6.11,6.02,5.93,5.84
"Benin","BEN","Subnat","BENr105","Queme (incl Plateau)",5.98,5.88,5.79,5.69
"Benin","BEN","Subnat","BENr106","Zou (incl Collines)",6.53,6.64,6.75,6.86
"Botswana","BWA","National","BWAt","Total",6.05,6.15,,
"Botswana","BWA","Urb/rur","BWAtu","Urban",6.00,6.00,,
"Botswana","BWA","Urb/rur","BWAtr","Rural",5.63,5.63,,
"Botswana","BWA","Poverty","BWAp1","Poor",5.55,5.47,,
"Botswana","BWA","Poverty","BWAp0","Nonpoor",6.33,6.54,,
"Botswana","BWA","Wealth quartiles","BWAw41","Lowest 25%",5.45,5.37,,
"Botswana","BWA","Wealth quartiles","BWAw42","Second 25%",5.84,5.84,,
"Botswana","BWA","Wealth quartiles","BWAw43","Third 25%",6.52,6.71,,
"Botswana","BWA","Wealth quartiles","BWAw44","Highest 25%",6.27,6.52,,
"Botswana","BWA","Subnat","BWAr101","Central",5.49,5.39,,
"Botswana","BWA","Subnat","BWAr110","Chobe",6.67,7.01,,
"Botswana","BWA","Subnat","BWAr102","Ghanzi",5.74,5.67,,
"Botswana","BWA","Subnat","BWAr103","Kgalagadi",7.08,7.42,,
"Botswana","BWA","Subnat","BWAr104","Kgatleng",6.79,7.05,,
"Botswana","BWA","Subnat","BWAr105","Kweneng",6.25,6.35,,
"Botswana","BWA","Subnat","BWAr106","North-East",6.80,7.25,,
"Botswana","BWA","Subnat","BWAr107","North-West, Ngamiland",5.07,4.67,,
"Botswana","BWA","Subnat","BWAr108","South-East",7.35,8.04,,
"Botswana","BWA","Subnat","BWAr109","Southern",4.98,4.71,,
"Burkina Faso","BFA","National","BFAt","Total",,,,
"Burkina Faso","BFA","Urb/rur","BFAtu","Urban",,,,
"Burkina Faso","BFA","Urb/rur","BFAtr","Rural",,,,
"Burkina Faso","BFA","Poverty","BFAp1","Poor",,,,
"Burkina Faso","BFA","Poverty","BFAp0","Nonpoor",,,,
"Burkina Faso","BFA","Wealth quartiles","BFAw41","Lowest 25%",,,,
"Burkina Faso","BFA","Wealth quartiles","BFAw42","Second 25%",,,,
"Burkina Faso","BFA","Wealth quartiles","BFAw43","Third 25%",,,,
"Burkina Faso","BFA","Wealth quartiles","BFAw44","Highest 25%",,,,
"Burkina Faso","BFA","Subnat","BFAr101","Boucle de Mouhoun",,,,
"Burkina Faso","BFA","Subnat","BFAr102","Cascades",,,,
"Burkina Faso","BFA","Subnat","BFAr103","Centre (incl Ouagadougou)",,,,
"Burkina Faso","BFA","Subnat","BFAr104","Centre-Est",,,,
"Burkina Faso","BFA","Subnat","BFAr105","Centre-Nord",,,,
"Burkina Faso","BFA","Subnat","BFAr106","Centre-Ouest",,,,
"Burkina Faso","BFA","Subnat","BFAr107","Centre-Sud",,,,
"Burkina Faso","BFA","Subnat","BFAr108","Est",,,,
"Burkina Faso","BFA","Subnat","BFAr109","Hauts Bassins",,,,
"Burkina Faso","BFA","Subnat","BFAr110","Nord",,,,
"Burkina Faso","BFA","Subnat","BFAr111","Plateau Central",,,,
"Burkina Faso","BFA","Subnat","BFAr112","Sahel",,,,
"Burkina Faso","BFA","Subnat","BFAr113","Sud-Ouest",,,,
"Burundi","BDI","National","BDIt","Total",5.96,5.96,5.96,5.96
"Burundi","BDI","Urb/rur","BDItu","Urban",6.48,6.42,6.36,6.30
"Burundi","BDI","Urb/rur","BDItr","Rural",5.91,5.91,5.92,5.93
"Burundi","BDI","Poverty","BDIp1","Poor",5.87,5.87,5.87,5.87
"Burundi","BDI","Poverty","BDIp0","Nonpoor",7.36,7.28,7.21,7.14
"Burundi","BDI","Wealth quartiles","BDIw41","Lowest 25%",5.08,5.09,5.10,5.11
"Burundi","BDI","Wealth quartiles","BDIw42","Second 25%",5.66,5.64,5.63,5.62
"Burundi","BDI","Wealth quartiles","BDIw43","Third 25%",6.16,6.17,6.19,6.21
"Burundi","BDI","Wealth quartiles","BDIw44","Highest 25%",6.71,6.69,6.68,6.67
"Burundi","BDI","Subnat","BDIr103","East (Cankuzo, Rutana, Ruyigi )",6.01,6.04,6.07,6.10
"Burundi","BDI","Subnat","BDIr105","Middle (Gitega, Karuzi, Muramvya, Mwaro)",5.67,5.67,5.67,5.67
"Burundi","BDI","Subnat","BDIr101","North (Kayanza, Kirundo, Muyinga, Ngozi)",5.59,5.60,5.61,5.62
"Burundi","BDI","Subnat","BDIr102","South (Bururi, Makamba)",6.63,6.63,6.63,6.63
"Burundi","BDI","Subnat","BDIr104","West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",6.24,6.21,6.19,6.17
"Cameroon","CMR","National","CMRt","Total",,,,
"Cameroon","CMR","Urb/rur","CMRtu","Urban",,,,
"Cameroon","CMR","Urb/rur","CMRtr","Rural",,,,
"Cameroon","CMR","Poverty","CMRp1","Poor",,,,
"Cameroon","CMR","Poverty","CMRp0","Nonpoor",,,,
"Cameroon","CMR","Wealth quartiles","CMRw41","Lowest 25%",,,,
"Cameroon","CMR","Wealth quartiles","CMRw42","Second 25%",,,,
"Cameroon","CMR","Wealth quartiles","CMRw43","Third 25%",,,,
"Cameroon","CMR","Wealth quartiles","CMRw44","Highest 25%",,,,
"Cameroon","CMR","Subnat","CMRr101","Adamaoua",,,,
"Cameroon","CMR","Subnat","CMRr102","Centre (incl Yaounde)",,,,
"Cameroon","CMR","Subnat","CMRr103","Est",,,,
"Cameroon","CMR","Subnat","CMRr104","Extreme Nord",,,,
"Cameroon","CMR","Subnat","CMRr105","Littoral (incl Douala)",,,,
"Cameroon","CMR","Subnat","CMRr106","Nord",,,,
"Cameroon","CMR","Subnat","CMRr107","Nord Ouest",,,,
"Cameroon","CMR","Subnat","CMRr108","Ouest",,,,
"Cameroon","CMR","Subnat","CMRr109","Sud",,,,
"Cameroon","CMR","Subnat","CMRr110","Sud Ouest",,,,
"Cape Verde","CPV","National","CPVt","Total",4.98,4.98,,
"Cape Verde","CPV","Urb/rur","CPVtu","Urban",5.02,5.02,,
"Cape Verde","CPV","Urb/rur","CPVtr","Rural",4.88,4.88,,
"Cape Verde","CPV","Poverty","CPVp1","Poor",4.41,4.41,,
"Cape Verde","CPV","Poverty","CPVp0","Nonpoor",5.03,5.03,,
"Cape Verde","CPV","Wealth quartiles","CPVw41","Lowest 25%",4.73,4.73,,
"Cape Verde","CPV","Wealth quartiles","CPVw42","Second 25%",4.87,4.87,,
"Cape Verde","CPV","Wealth quartiles","CPVw43","Third 25%",5.05,5.05,,
"Cape Verde","CPV","Wealth quartiles","CPVw44","Highest 25%",5.25,5.25,,
"Cape Verde","CPV","Subnat","CPVr105","Fogo",5.20,5.20,,
"Cape Verde","CPV","Subnat","CPVr101","S.Antao",4.36,4.36,,
"Cape Verde","CPV","Subnat","CPVr102","S.Vicente",5.00,5.00,,
"Cape Verde","CPV","Subnat","CPVr104","Santiago- Praia",5.07,5.07,,
"Cape Verde","CPV","Subnat","CPVr103","Santiago-Interior",5.02,5.02,,
"Central African Republic CAR","CAF","National","CAFt","Total",,,,
"Central African Republic CAR","CAF","Urb/rur","CAFtu","Urban",,,,
"Central African Republic CAR","CAF","Urb/rur","CAFtr","Rural",,,,
"Central African Republic CAR","CAF","Poverty","CAFp1","Poor",,,,
"Central African Republic CAR","CAF","Poverty","CAFp0","Nonpoor",,,,
"Central African Republic CAR","CAF","Wealth quartiles","CAFw41","Lowest 25%",,,,
"Central African Republic CAR","CAF","Wealth quartiles","CAFw42","Second 25%",,,,
"Central African Republic CAR","CAF","Wealth quartiles","CAFw43","Third 25%",,,,
"Central African Republic CAR","CAF","Wealth quartiles","CAFw44","Highest 25%",,,,
"Central African Republic CAR","CAF","Subnat","CAFr106","Bangui",,,,
"Central African Republic CAR","CAF","Subnat","CAFr101","RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi)",,,,
"Central African Republic CAR","CAF","Subnat","CAFr102","RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)",,,,
"Central African Republic CAR","CAF","Subnat","CAFr103","RS III (Ouham Pende, Ouham)",,,,
"Central African Republic CAR","CAF","Subnat","CAFr104","RS IV (Ouaka, Haute-Kotto, Baminigui Bangoran, Vakaga)",,,,
"Central African Republic CAR","CAF","Subnat","CAFr105","RS V (Basse Kotto, Mbornou, Houte Mbormou)",,,,
"Chad","TCD","National","TCDt","Total",7.88,7.98,8.08,8.19
"Chad","TCD","Urb/rur","TCDtu","Urban",8.64,8.80,8.95,9.11
"Chad","TCD","Urb/rur","TCDtr","Rural",7.66,7.75,7.84,7.92
"Chad","TCD","Poverty","TCDp1","Poor",7.68,7.78,7.88,7.98
"Chad","TCD","Poverty","TCDp0","Nonpoor",10.5,10.6,10.7,10.7
"Chad","TCD","Wealth quartiles","TCDw41","Lowest 25%",6.22,6.17,6.12,6.06
"Chad","TCD","Wealth quartiles","TCDw42","Second 25%",7.21,7.26,7.32,7.37
"Chad","TCD","Wealth quartiles","TCDw43","Third 25%",8.35,8.54,8.74,8.93
"Chad","TCD","Wealth quartiles","TCDw44","Highest 25%",9.21,9.35,9.50,9.64
"Chad","TCD","Subnat","TCDr101","Zone 1 (N'Djamena)",9.04,9.21,9.38,9.55
"Chad","TCD","Subnat","TCDr102","Zone 2 (BET (Borkou, Ennedi, Tibesti), Kanem (incl Barh El Gazal), Lac)",6.96,7.09,7.22,7.35
"Chad","TCD","Subnat","TCDr103","Zone 3 (Guera, Batha Est & Ouest, Salamat)",7.69,7.77,7.86,7.94
"Chad","TCD","Subnat","TCDr104","Zone 4 (Ouaddai (incl Assongha, Sili), Biltine (new name Wad Fira))",6.83,6.89,6.94,7.00
"Chad","TCD","Subnat","TCDr105","Zone 5 (Chari-Baguirmi (Dababa, Baguirmi, Hadjer Lamis))",7.76,7.89,8.03,8.16
"Chad","TCD","Subnat","TCDr106","Zone 6 (Mayo-Kebbi (Kabia, Mayo Boneye & Mayo Dala))",9.13,9.18,9.23,9.27
"Chad","TCD","Subnat","TCDr107","Zone 7 (Logone Occidental, Logone Oriental (incl Monts de Lam), Tandjile Est & Ouest)",7.78,7.87,7.96,8.05
"Chad","TCD","Subnat","TCDr108","Zone 8 (Moyen-Chari (Barh Koh, Mandoul, Lac Iro))",8.08,8.26,8.45,8.63
"Comoros","COM","National","COMt","Total",6.72,,,
"Comoros","COM","Urb/rur","COMtu","Urban",6.36,,,
"Comoros","COM","Urb/rur","COMtr","Rural",6.89,,,
"Comoros","COM","Poverty","COMp1","Poor",6.50,,,
"Comoros","COM","Poverty","COMp0","Nonpoor",6.93,,,
"Comoros","COM","Wealth quartiles","COMw41","Lowest 25%",6.60,,,
"Comoros","COM","Wealth quartiles","COMw42","Second 25%",6.78,,,
"Comoros","COM","Wealth quartiles","COMw43","Third 25%",6.54,,,
"Comoros","COM","Wealth quartiles","COMw44","Highest 25%",6.97,,,
"Comoros","COM","Subnat","COMr103","Anjouan (Ndzouani)",6.23,,,
"Comoros","COM","Subnat","COMr101","Grande Comore (Ngazidja)",7.15,,,
"Comoros","COM","Subnat","COMr102","Moheli",7.23,,,
"Congo Brazzaville","COG","National","COGt","Total",5.66,5.66,5.66,5.66
"Congo Brazzaville","COG","Urb/rur","COGtu","Urban",5.66,5.66,5.66,5.66
"Congo Brazzaville","COG","Urb/rur","COGtr","Rural",5.66,5.66,5.66,5.66
"Congo Brazzaville","COG","Poverty","COGp1","Poor",5.39,5.39,5.39,5.39
"Congo Brazzaville","COG","Poverty","COGp0","Nonpoor",5.90,5.90,5.90,5.90
"Congo Brazzaville","COG","Wealth quartiles","COGw41","Lowest 25%",5.57,5.57,5.57,5.57
"Congo Brazzaville","COG","Wealth quartiles","COGw42","Second 25%",5.62,5.62,5.62,5.62
"Congo Brazzaville","COG","Wealth quartiles","COGw43","Third 25%",5.65,5.65,5.65,5.65
"Congo Brazzaville","COG","Wealth quartiles","COGw44","Highest 25%",5.78,5.78,5.78,5.78
"Congo Brazzaville","COG","Subnat","COGr204"," Bouenza",5.56,5.56,5.56,5.56
"Congo Brazzaville","COG","Subnat","COGr211"," Brazzaville",5.94,5.94,5.94,5.94
"Congo Brazzaville","COG","Subnat","COGr207"," Cuvette",5.31,5.31,5.31,5.31
"Congo Brazzaville","COG","Subnat","COGr208"," Cuvette Ouest",5.89,5.89,5.89,5.89
"Congo Brazzaville","COG","Subnat","COGr201"," Kouilou",5.32,5.32,5.32,5.32
"Congo Brazzaville","COG","Subnat","COGr203"," Lekoumou",5.98,5.98,5.98,5.98
"Congo Brazzaville","COG","Subnat","COGr210"," Likouala",7.09,7.09,7.09,7.09
"Congo Brazzaville","COG","Subnat","COGr202"," Niari",5.97,5.97,5.97,5.97
"Congo Brazzaville","COG","Subnat","COGr206"," Plateaux",5.50,5.50,5.50,5.50
"Congo Brazzaville","COG","Subnat","COGr212"," Pointe Noire",5.11,5.11,5.11,5.11
"Congo Brazzaville","COG","Subnat","COGr205"," Pool",5.26,5.26,5.26,5.26
"Congo Brazzaville","COG","Subnat","COGr209"," Sangha",5.63,5.63,5.63,5.63
"Congo Democratic Republic","COD","National","CODt","Total",6.98,7.02,,
"Congo Democratic Republic","COD","Urb/rur","CODtu","Urban",7.69,7.76,,
"Congo Democratic Republic","COD","Urb/rur","CODtr","Rural",6.56,6.56,,
"Congo Democratic Republic","COD","Poverty","CODp1","Poor",6.76,6.79,,
"Congo Democratic Republic","COD","Poverty","CODp0","Nonpoor",8.47,8.51,,
"Congo Democratic Republic","COD","Wealth quartiles","CODw41","Lowest 25%",6.02,6.02,,
"Congo Democratic Republic","COD","Wealth quartiles","CODw42","Second 25%",6.57,6.57,,
"Congo Democratic Republic","COD","Wealth quartiles","CODw43","Third 25%",7.19,7.27,,
"Congo Democratic Republic","COD","Wealth quartiles","CODw44","Highest 25%",7.84,7.89,,
"Congo Democratic Republic","COD","Subnat","CODr103","Bandundu",6.72,6.85,,
"Congo Democratic Republic","COD","Subnat","CODr102","Bas-Congo",6.17,6.21,,
"Congo Democratic Republic","COD","Subnat","CODr104","Equateur",6.70,6.62,,
"Congo Democratic Republic","COD","Subnat","CODr111","Kasai Occidental",7.08,7.18,,
"Congo Democratic Republic","COD","Subnat","CODr110","Kasai Oriental",7.12,7.22,,
"Congo Democratic Republic","COD","Subnat","CODr109","Katanga",7.84,8.11,,
"Congo Democratic Republic","COD","Subnat","CODr101","Kinshasa",7.88,7.91,,
"Congo Democratic Republic","COD","Subnat","CODr108","Maniema",6.55,6.44,,
"Congo Democratic Republic","COD","Subnat","CODr106","Nord-Kivu",7.17,7.22,,
"Congo Democratic Republic","COD","Subnat","CODr105","Orientale",6.37,6.24,,
"Congo Democratic Republic","COD","Subnat","CODr107","Sud-Kivu",6.81,6.76,,
"Cote d'Ivoire","CIV","National","CIVt","Total",,,,
"Cote d'Ivoire","CIV","Urb/rur","CIVtu","Urban",,,,
"Cote d'Ivoire","CIV","Urb/rur","CIVtr","Rural",,,,
"Cote d'Ivoire","CIV","Poverty","CIVp1","Poor",,,,
"Cote d'Ivoire","CIV","Poverty","CIVp0","Nonpoor",,,,
"Cote d'Ivoire","CIV","Wealth quartiles","CIVw41","Lowest 25%",,,,
"Cote d'Ivoire","CIV","Wealth quartiles","CIVw42","Second 25%",,,,
"Cote d'Ivoire","CIV","Wealth quartiles","CIVw43","Third 25%",,,,
"Cote d'Ivoire","CIV","Wealth quartiles","CIVw44","Highest 25%",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr101","Centre",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr102","Centre Est",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr103","Centre Nord",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr104","Centre Ouest",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr105","Nord",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr106","Nord Est",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr107","Nord Ouest",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr108","Ouest",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr110","Sud Ouest",,,,
"Cote d'Ivoire","CIV","Subnat","CIVr109","Sud, Abidjan",,,,
"Djibouti","DJI","National","DJIt","Total",,,,
"Djibouti","DJI","Urb/rur","DJIu","Urban",,,,
"Djibouti","DJI","Urb/rur","DJIr","Rural",,,,
"Djibouti","DJI","Poverty","DJIp1","Poor",,,,
"Djibouti","DJI","Poverty","DJIp0","Nonpoor",,,,
"Djibouti","DJI","Wealth quartiles","DJIw41","Lowest 25%",,,,
"Djibouti","DJI","Wealth quartiles","DJIw42","Second 25%",,,,
"Djibouti","DJI","Wealth quartiles","DJIw43","Third 25%",,,,
"Djibouti","DJI","Wealth quartiles","DJIw44","Highest 25%",,,,
"Djibouti","DJI","Subnat","DJIr101","Djibouti",,,,
"Djibouti","DJI","Subnat","DJIr102","Other Districts",,,,
"Egypt","EGY","National","EGYt","Total",4.97,4.82,4.68,
"Egypt","EGY","Urb/rur","EGYtu","Urban",4.58,4.51,4.44,
"Egypt","EGY","Urb/rur","EGYtr","Rural",5.17,4.95,4.73,
"Egypt","EGY","Poverty","EGYp1","Poor",5.10,4.92,4.75,
"Egypt","EGY","Poverty","EGYp0","Nonpoor",4.96,4.81,4.67,
"Egypt","EGY","Wealth quartiles","EGYw41","Lowest 25%",5.94,5.75,5.55,
"Egypt","EGY","Wealth quartiles","EGYw42","Second 25%",4.76,4.52,4.28,
"Egypt","EGY","Wealth quartiles","EGYw43","Third 25%",4.54,4.46,4.39,
"Egypt","EGY","Wealth quartiles","EGYw44","Highest 25%",4.40,4.36,4.32,
"Egypt","EGY","Subnat","EGYr102","Alexandria",4.20,4.11,4.03,
"Egypt","EGY","Subnat","EGYr118","Assuit",5.67,5.33,4.98,
"Egypt","EGY","Subnat","EGYr121","Aswan",5.98,5.89,5.80,
"Egypt","EGY","Subnat","EGYr112","Behera",5.04,4.82,4.60,
"Egypt","EGY","Subnat","EGYr115","Beni Suef",4.93,4.64,4.35,
"Egypt","EGY","Subnat","EGYr101","Cairo",4.40,4.33,4.26,
"Egypt","EGY","Subnat","EGYr106","Dakahlia",4.63,4.55,4.48,
"Egypt","EGY","Subnat","EGYr105","Damietta",5.01,5.06,5.12,
"Egypt","EGY","Subnat","EGYr116","Fayoum",5.08,4.93,4.77,
"Egypt","EGY","Subnat","EGYr122","Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)",5.42,5.17,4.93,
"Egypt","EGY","Subnat","EGYr110","Gharbia",4.39,4.27,4.15,
"Egypt","EGY","Subnat","EGYr114","Giza",4.69,4.52,4.36,
"Egypt","EGY","Subnat","EGYr113","Ismailia",5.04,4.98,4.92,
"Egypt","EGY","Subnat","EGYr109","Kafr El-Sheikh",4.87,4.72,4.57,
"Egypt","EGY","Subnat","EGYr108","Kalyubia",4.54,4.49,4.44,
"Egypt","EGY","Subnat","EGYr111","Menoufia",4.84,4.73,4.62,
"Egypt","EGY","Subnat","EGYr117","Menya",5.09,4.82,4.56,
"Egypt","EGY","Subnat","EGYr103","Port Said",4.86,4.82,4.79,
"Egypt","EGY","Subnat","EGYr120","Qena",5.60,5.38,5.17,
"Egypt","EGY","Subnat","EGYr107","Sharkia",4.81,4.59,4.36,
"Egypt","EGY","Subnat","EGYr119","Souhag",6.91,6.78,6.66,
"Egypt","EGY","Subnat","EGYr104","Suez",4.75,4.64,4.54,
"Equatorial Guinea","GNQ","National","GNQt","Total",,,,
"Equatorial Guinea","GNQ","Urb/rur","GNQtu","Urban",,,,
"Equatorial Guinea","GNQ","Urb/rur","GNQtr","Rural",,,,
"Equatorial Guinea","GNQ","Poverty","GNQp1","Poor",,,,
"Equatorial Guinea","GNQ","Poverty","GNQp0","Nonpoor",,,,
"Equatorial Guinea","GNQ","Wealth quartiles","GNQw41","Lowest 25%",,,,
"Equatorial Guinea","GNQ","Wealth quartiles","GNQw42","Second 25%",,,,
"Equatorial Guinea","GNQ","Wealth quartiles","GNQw43","Third 25%",,,,
"Equatorial Guinea","GNQ","Wealth quartiles","GNQw44","Highest 25%",,,,
"Equatorial Guinea","GNQ","Subnat","GNQr101","Annobon, Bioko",,,,
"Equatorial Guinea","GNQ","Subnat","GNQr102","Centro Sur",,,,
"Equatorial Guinea","GNQ","Subnat","GNQr103","Kie Ntem",,,,
"Equatorial Guinea","GNQ","Subnat","GNQr104","Litoral",,,,
"Equatorial Guinea","GNQ","Subnat","GNQr105","Wele Nzas",,,,
"Eritrea","ERI","National","ERIt","Total",,,,
"Eritrea","ERI","Urb/rur","ERItu","Urban",,,,
"Eritrea","ERI","Urb/rur","ERItr","Rural",,,,
"Eritrea","ERI","Poverty","ERIp1","Poor",,,,
"Eritrea","ERI","Poverty","ERIp0","Nonpoor",,,,
"Eritrea","ERI","Wealth quartiles","ERIw41","Lowest 25%",,,,
"Eritrea","ERI","Wealth quartiles","ERIw42","Second 25%",,,,
"Eritrea","ERI","Wealth quartiles","ERIw43","Third 25%",,,,
"Eritrea","ERI","Wealth quartiles","ERIw44","Highest 25%",,,,
"Eritrea","ERI","Subnat","ERIr104","Anseba",,,,
"Eritrea","ERI","Subnat","ERIr106","Debub (Southern)",,,,
"Eritrea","ERI","Subnat","ERIr101","Debubawi Keyih Bahri (Southern Red Sea)",,,,
"Eritrea","ERI","Subnat","ERIr105","Gash Barka",,,,
"Eritrea","ERI","Subnat","ERIr102","Maekel (Central including Asmara)",,,,
"Eritrea","ERI","Subnat","ERIr103","Semenawi Keyih Bahri (Northern Red Sea)",,,,
"Eswatini","SWZ","National","SWZt","Total",6.03,5.93,5.84,
"Eswatini","SWZ","Urb/rur","SWZtu","Urban",4.51,4.49,4.46,
"Eswatini","SWZ","Urb/rur","SWZtr","Rural",6.61,6.52,6.43,
"Eswatini","SWZ","Poverty","SWZp1","Poor",6.20,6.12,6.04,
"Eswatini","SWZ","Poverty","SWZp0","Nonpoor",5.91,5.82,5.72,
"Eswatini","SWZ","Wealth quartiles","SWZw41","Lowest 25%",7.01,7.01,7.01,
"Eswatini","SWZ","Wealth quartiles","SWZw42","Second 25%",6.54,6.46,6.39,
"Eswatini","SWZ","Wealth quartiles","SWZw43","Third 25%",5.31,5.03,4.74,
"Eswatini","SWZ","Wealth quartiles","SWZw44","Highest 25%",4.44,4.37,4.29,
"Eswatini","SWZ","Subnat","SWZr101","Hhohho",5.96,5.86,5.77,
